観光地名,都道府県,住所,紹介文,営業日,電話番号,参考URL,写真,カテゴリー
牧野ヶ池緑地,愛知県,名古屋市名東区猪高町高針梅森坂５２－１７５,緑地内にはブランコやすべり台など、多くの遊具施設がそろう。冒険広場には飛行機の形をしたローラー式のすべり台があり、子どもたちの人気を集めている。,通年,052-701-3089,http://aichi-koen.com/makino/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOeTlFSVpIcEd5U0E/edit?usp=docslist_api,公園・緑地
称名滝,富山県,中新川郡立山町芦峅寺ブナ坂外国有林（称名平）,日本の滝百選に選定。落差約350mは日本最大級を誇る。4～6月の雪解け時には、隣にハンノキ滝という滝が現れる。紅葉の時期も見頃。晩秋には雪も混じり幻想的な光景に。,通年（見学は4月下旬～11月下旬、積雪状況により異なる）,076-462-9971,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOMExCTmlZRVR2V00/edit?usp=docslist_api,滝
天王川公園,愛知県,津島市宮川町地内,江戸時代に天王川をせきとめてつくられた公園。春は桜や藤、夏のスイレンなど季節ごとに花と緑の景観が楽しめる。天王川公園の藤棚ではあたり一面紫色に変わる。,通年,0567-24-1111,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOa2dhR3ZmdGxsV3c/edit?usp=docslist_api,花の名所
香嵐渓,愛知県,豊田市足助町飯盛地内,香嵐渓の飯盛山は約4000本ものカエデで覆われ、秋には山の斜面や巴川の水面を紅一色に染め上げる。香積寺11世の三栄和尚が、般若心経を唱えながら1本ずつ植えたのが始まりと言われる。,通年,0565-62-1272,http://asuke.info/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAON3Z5VEItSFVmVzA/edit?usp=docslist_api,紅葉の名所
室堂平,富山県,中新川郡立山町室堂平,アルペンルートの最高所で、間近に迫る立山連峰が圧巻。トロリーバスが発着する室堂ターミナルは、標高2450mの日本最高所駅。眼下に青雲が広がり、澄みきった空気が心地いい。,通年（ケーブル・高原バスの運行は4月中旬～11月）,076-432-2819,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOOHZJQVJaLVdaQWs/edit?usp=docslist_api,特殊地形
新境川堤の桜（百十郎桜）,岐阜県,各務原市那加門前町周辺,各務原市の中心部を流れる新境川にある約5km続く桜並木。地元出身の歌舞伎役者である市川百十郎がソメイヨシノの苗木を1200本寄贈したことから「百十郎桜」とも呼ばれている。,3月下旬～4月上旬,058-383-9925,http://www.city.kakamigahara.lg.jp/index.html,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOTFBETE5YYkk0WU0/edit?usp=docslist_api,桜の名所
倶利加羅不動寺 強巴林,愛知県,名古屋市守山区青葉台101,"名古屋の友人に珍しい所があるという事で、倶利加羅不動寺に隣接をしている
強巴林というチベット仏教寺院に赴きました。

私は存じ上げていなかったのですが、ちょうど花まつり法要が執り行われており
多数の人・人・人　でとても盛況でした。
また、遠方から来た旨を伝えたところ、お忙しい中僧侶の方が寺院内のご説明を
してくださいました。

隣の倶利加羅不動寺では滝修行なども行っているとのことですので
名古屋に赴く際には一度いってみようかと思います。（夏ごろに）

おしいところ
ちょうど大きな法要が行われていたこともあり
駐車場が満車に近かったです。
また、近くに飲食店があまりありませんでした。",,052-736-4888,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAONzNxNHotM1Z1ZUk/edit?usp=docslist_api,寺院（観音・不動）
飛騨大鍾乳洞,岐阜県,高山市丹生川町日面１１４７,2～3億年の時が創造した大自然の芸術、鍾乳洞。800mに及ぶ洞内には石柱が並び神秘的。世界の装飾品や置き物など約1000点が展示された大橋コレクション館も併設されている。,通年,0577-79-2211,http://www.syonyudo.com,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOcUNubjlFN3BadUE/edit?usp=docslist_api,洞窟
香林寺,石川県,金沢市野町1-3-15,"高校時代からのお友達と香林寺へ行きました。平日だったこともあり、空いていました。近くの忍者寺さんの案内係の対応が悪かったこともありますが、香林寺さんの案内係は丁寧で親切でした。
香林寺の特徴は願掛け寺らしく、静かな佇まいが魅力です。お寺独特の厳しさというより、寧ろ優しく包み込むような不思議なお寺でした。お庭は手入れが行き届いていて、小さいながらも京都のお寺と比べても遜色のない美しさでした。
お庭の羅漢様や干支の仏様は一様に穏やかな表情で、願を掛けるというより自然に手を合わせたくなるといった方がふさわしいのかもしれません。干支の仏様はお願い事をかきとめた、たすきが無数に掛けられていました。綺麗な色のたすきなので、ほほえましい感じです。お庭の中心にどっしり構えている白不動様は、なんと触れると美白の効果があるということです。普段白いお不動様を見かけませんが、白くてもお不動様は威厳がありました。上手に伝えることはできませんが、不思議なお寺です。お寺の職員に写真を見せて頂いたのですが、秋は白い彼岸花が庭一面に咲くようです。彼岸花が白色に変わるだけで、こんなに可憐な花に変わるのだと初めて知りました。とてもロマンチックです。少し不謹慎かもしれませんが、香林寺はカップルで訪れるよりも仲の良いお友達と訪れる方が、断然楽しい感じがしました。こんなのだから彼氏ができないのかな？？

おしいところ
お勤めから帰ってきたご御坊様達を偶然お目にかかりましたが、そんなのあり？？
恰好良すぎ。ご兄弟かしら？？　お二人ともご結婚されてますよね。涙",,076-247-5488,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOdmg1Wnc3aGRVbzQ/edit?usp=docslist_api,寺院（観音・不動）
飛騨の里,岐阜県,高山市上岡本町１丁目５９０,国の重要文化財4棟を含む、合掌造りなど飛騨地方の特色ある民家を移築・復元。館内の古民家では、わら細工・千鳥格子・さしこ細工などの実演及び体験教室が日替わりで行われている。,通年,0577-34-4711,http://www.hida.jp/hidanosato/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOMF9sSGRfbnFYZEE/edit?usp=docslist_api,資料館・郷土館
