観光地名,都道府県,住所,紹介文,営業日,電話番号,参考URL,写真,カテゴリー
二見シーパラダイス,三重県,伊勢市二見町江５８０,二見プラザに隣接する水族館でセイウチなどの海獣をはじめ、淡水魚、熱帯魚などたくさんの海の生き物を見ることができる。海獣ショーやふれあいタイムが人気。,通年,0596-42-1760,http://www.futami-seaparadise.com/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOQk0wX0ZVUFBVMkE/edit?usp=docslist_api,水族館
ラ・しじみ（体験）,福井県,三方郡美浜町久々子８－１０－１,しじみの産地である久々子湖で、しじみを自分で収穫する体験ができるスポットが誕生。しじみは持ち帰ることもでき、若狭路の思い出と共にお土産になりそう。体験は予約制。,通年,0770-32-2283,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOb2pZYldLWTA2UWs/edit?usp=docslist_api,観光漁業・定置網
レインボーライン山頂公園,福井県,三方上中郡若狭町梅丈岳,「レインボーライン」駐車場からリフトで登ると若狭湾・三方五湖を一度に見渡せる大パノラマが広がる。「恋人の聖地」として認定され恋愛成就の場としても有名。「誓いの鍵」は20万個もかかる。,通年,0770-45-2678,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOdHp4eFN0VkZtUjQ/edit?usp=docslist_api,展望台・展望地
１３８タワーパーク,愛知県,一宮市光明寺浦崎２１－３,国営木曽三川公園にそびえるツインアーチ138を中心とした公園。地上約100mの展望階からは広大な濃尾平野や木曽川の流れなどを一望できる。,通年,0586-51-7105,http://www.kisosansenkoen.go.jp,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOUzZvdmZabDdscm8/edit?usp=docslist_api,タワー
黒部ダム,富山県,中新川郡立山町芦峅寺ブナ国有林,黒部川に造られたダムで、日本最大級のアーチ式ドーム型ダム。高さ186m、長さ492m、総貯水量約2億トン。昭和38（1963）年完成。観光放水は6月26日～10月15日。人工の黒部湖には遊覧船もある。,4月中旬～11月,0261-22-0804,http://www.kurobe-dam.com,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOMUR2MUE3dGlLdTg/edit?usp=docslist_api,その他の名所
豊橋総合動植物公園（のんほいパーク）,愛知県,豊橋市大岩町大穴１－２３８,のんほいパークの愛称で親しまれている動植物公園。広い園内にはサイやシマウマなどがいるアフリカ園、極地動物館が点在し、数多くの動物が飼育されている。,通年,0532-41-2185,http://www.toyohaku.gr.jp/tzb/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOVDFkMUtjcS1fcEU/edit?usp=docslist_api,公園・緑地
なばなの里,三重県,桑名市長島町駒江漆畑２７０,季節の花に満ちたテーマパーク。「ベゴニアガーデン」を中心に、広々とした庭園、露天風呂が楽しめる「里の湯」、地ビールレストランなどがそろい、一日楽しめる。,通年,0594-41-0787,http://www.nagashima-onsen.co.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOTFJrSzdzWFk1Zlk/edit?usp=docslist_api,遊園地
サツキとメイの家,愛知県,長久手市茨ヶ廻間乙１５３３－１　愛・地球博記念公園内,平成17（2005）年に開催された、愛知万博で大人気だった施設。映画『となりのトトロ』の主人公の家。見学は予約が便利。観覧希望日の前々日まで購入可能。空きがある場合当日先着順受付もあり。,通年,0561-64-1130,http://moricoro-park.com/shisetsu/satsukitomei/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOa1hUZHpST25yZkk/edit?usp=docslist_api,その他の文化施設
義経の舟隠し,石川県,羽咋郡志賀町前浜地内,間口5mほど、奥行き約100mという細長く深い入江。周辺は義経伝説が残されており、奥州に向かう一行が入り江に50艘近い船を隠したといわれる。,通年,0767-32-1111,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOQV9lRUZQaXJlUVE/edit?usp=docslist_api,特殊地形
若狭和田海水浴場,福井県,大飯郡高浜町和田,環境省の「日本水浴場88選」に選定された白く美しい砂浜と遠浅で水がきれいな海。若狭路の海水浴場のメッカともいえるここは、若者や家族連れなど、多くの人たちで賑わう。,7月上旬～8月中旬,0770-72-0338,http://www.wakasa-takahama.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOMGFaRjJrbnk3NE0/edit?usp=docslist_api,海水浴場・湖水浴場
乗政大滝,岐阜県,下呂市乗政,周囲にそびえる1600m級の山々から集まった水が、落差約21mの滝となって落ちていく。周辺は散策路も整備され、また水温変化が少ないことからワサビ栽培に利用されている。,通年,0576-24-2222,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOYUtzTEFDOWtrUHM/edit?usp=docslist_api,滝
ナナちゃん人形,愛知県,名古屋市中村区名駅1-2-1 名鉄百貨店メンズ館1Fエントランス前,"高速バスで名古屋入りし、名鉄バスセンターから見当をつけて出ると、ぴったり「ナナちゃん」前だった！
季節によって衣替えするようで、夏の水着だったら、目のやり場に困るかなぁ＾＾
サンタスタイルや着物姿も見てみたいし、待ち合わせ場所にも使いたいね♪",,-,,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAONnRlSkZEYWRtT1k/edit?usp=docslist_api,その他の名所
新穂高ロープウェイ,岐阜県,高山市奥飛騨温泉郷　新穂高,日本初の2階建てロープウェイが運行。新穂高温泉駅から標高2156mの西穂高口まで3200m、約20分間の空中散歩を楽しめる。西穂高口には、展望レストランや千石園地がある。,通年,0578-89-2252,http://www.okuhi.jp/,https://docs.google.com/a/user-support-center.jp/file/d/0B3_b4po9GqAOcWR5RkZKeHRUaTA/edit?usp=docslist_api,ロープウェイ・ケーブルカー
